condition,periods_meeting_condition,spike_periods_within_condition,spike_probability_given_condition
imbalance_gt_150_and_gas_gt_15000,600,9,0.015
wind_lt_8000_and_gas_gt_15000,1751,24,0.0137
imbalance_gt_150_and_wind_lt_8000,2430,9,0.0037
imbalance_gt_150_and_hour_16_to_19,1038,5,0.0048
wind_lt_8000_and_hour_16_to_19,1564,11,0.007
gas_gt_15000_and_hour_16_to_19,736,11,0.0149
