case_id,asset_name,event_type,remit_rows,max_unavailable_capacity,avg_unavailable_capacity,first_event_start,last_event_end,asset_role,asset_repetition_across_cases
2025_case_02_jan_20_evening_scarcity,SEABANK,Production unavailability,1,430.0,430.0,2025-01-19T03:30:00Z,2025-01-20T12:00:00Z,moderate_asset_context,6
2025_case_02_jan_20_evening_scarcity,SUTTBRGE,Production unavailability,1,422.0,422.0,2025-01-19T07:00:00Z,2025-01-21T18:00:00Z,moderate_asset_context,2
2025_case_02_jan_20_evening_scarcity,FSTHYDRO,Consumption unavailability,4,300.0,300.0,2024-03-30T08:00:00Z,2025-01-30T21:00:00Z,moderate_asset_context,12
2025_case_02_jan_20_evening_scarcity,FSTHYDRO,Production unavailability,3,300.0,300.0,2024-03-30T08:00:00Z,2025-01-30T21:00:00Z,moderate_asset_context,12
2025_case_02_jan_20_evening_scarcity,MOWWL,Transmission unavailability,2,215.0,195.0,2024-11-01T20:00:00Z,2025-01-24T16:00:00Z,moderate_asset_context,4
2025_case_02_jan_20_evening_scarcity,DBNKOWF1,Production unavailability,1,185.0,185.0,2024-11-22T09:00:00Z,2025-05-13T16:00:00Z,moderate_asset_context,12
2025_case_02_jan_20_evening_scarcity,TKWFL,Production unavailability,1,153.0,153.0,2025-01-14T23:59:00Z,2025-01-22T00:00:00Z,moderate_asset_context,2
2025_case_02_jan_20_evening_scarcity,SSEGEN,Consumption unavailability,1,150.0,150.0,2025-01-20T14:00:00Z,2025-01-20T16:00:00Z,moderate_asset_context,5
2025_case_02_jan_20_evening_scarcity,SSEGEN,Production unavailability,1,150.0,150.0,2025-01-20T14:00:00Z,2025-01-20T16:00:00Z,moderate_asset_context,5
2025_case_02_jan_20_evening_scarcity,TEESREP,Production unavailability,4,125.0,113.75,2025-01-19T12:00:00Z,2025-01-20T18:30:00Z,moderate_asset_context,7
2025_case_02_jan_20_evening_scarcity,CENPB,Production unavailability,1,120.0,120.0,2024-11-30T23:00:00Z,2025-01-31T23:00:00Z,moderate_asset_context,6
2025_case_02_jan_20_evening_scarcity,CORBY,Production unavailability,1,120.0,120.0,2024-10-31T09:30:00Z,2025-10-01T00:00:00Z,moderate_asset_context,12
2025_case_03_jan_22_morning_ramp_scarcity,NGIFA,Transmission unavailability,4,1500.0,1250.0,2025-01-13T07:01:00Z,2025-02-04T13:29:00Z,major_material_asset_in_case_window,9
2025_case_03_jan_22_morning_ramp_scarcity,BEGL001,Production unavailability,17,660.0,549.29,2019-09-11T11:00:00Z,2050-12-31T23:00:00Z,material_asset_in_case_window,12
2025_case_03_jan_22_morning_ramp_scarcity,DRAX,Production unavailability,16,645.0,422.94,2020-07-29T11:00:00Z,2035-12-31T01:24:30Z,material_asset_in_case_window,12
2025_case_03_jan_22_morning_ramp_scarcity,DEESIDE,Production unavailability,1,510.0,510.0,2018-03-31T23:00:00Z,2050-12-31T00:00:00Z,moderate_asset_context,12
2025_case_03_jan_22_morning_ramp_scarcity,KGL,Production unavailability,6,506.0,490.17,2015-05-20T06:00:00Z,2050-12-31T23:59:59Z,material_asset_in_case_window,12
2025_case_03_jan_22_morning_ramp_scarcity,EECL,Production unavailability,5,505.0,473.0,2024-09-28T18:30:00Z,2050-09-30T23:00:00Z,material_asset_in_case_window,12
2025_case_03_jan_22_morning_ramp_scarcity,WBURTONB,Production unavailability,32,500.0,483.66,2019-04-11T16:30:00Z,2025-02-05T23:00:00Z,material_asset_in_case_window,3
2025_case_03_jan_22_morning_ramp_scarcity,INNOGY01,Production unavailability,13,500.0,483.08,2018-03-31T19:58:00Z,2029-07-31T23:00:00Z,material_asset_in_case_window,12
2025_case_03_jan_22_morning_ramp_scarcity,ICHPLLP,Production unavailability,2,460.0,287.5,2025-01-19T23:00:00Z,2025-01-24T23:00:00Z,moderate_asset_context,11
2025_case_03_jan_22_morning_ramp_scarcity,FSTHYDRO,Consumption unavailability,2,300.0,300.0,2024-03-30T08:00:00Z,2025-01-30T21:00:00Z,moderate_asset_context,12
2025_case_03_jan_22_morning_ramp_scarcity,FSTHYDRO,Production unavailability,2,300.0,300.0,2024-03-30T08:00:00Z,2025-01-30T21:00:00Z,moderate_asset_context,12
2025_case_03_jan_22_morning_ramp_scarcity,CORBY,Production unavailability,2,260.0,190.0,2024-10-31T09:30:00Z,2025-10-01T00:00:00Z,moderate_asset_context,12
2025_case_03_jan_22_morning_ramp_scarcity,MOWWL,Transmission unavailability,2,215.0,195.0,2024-11-01T20:00:00Z,2025-01-24T16:00:00Z,moderate_asset_context,4
2025_case_03_jan_22_morning_ramp_scarcity,DBNKOWF1,Production unavailability,1,185.0,185.0,2024-11-22T09:00:00Z,2025-05-13T16:00:00Z,moderate_asset_context,12
2025_case_03_jan_22_morning_ramp_scarcity,CENPB,Production unavailability,1,120.0,120.0,2024-11-30T23:00:00Z,2025-01-31T23:00:00Z,moderate_asset_context,6
2025_case_03_jan_22_morning_ramp_scarcity,VIKING,Production unavailability,4,112.0,111.0,2025-01-21T06:00:00Z,2025-01-28T23:59:00Z,moderate_asset_context,1
2025_case_03_jan_22_morning_ramp_scarcity,TEESREP,Production unavailability,1,100.0,100.0,2025-01-21T19:00:00Z,2025-01-22T11:30:00Z,moderate_asset_context,7
2025_case_04_jun_30_mixed_tail_spike,NGIFA,Transmission unavailability,2,1000.0,1000.0,2025-06-30T20:33:00Z,2025-06-30T21:08:00Z,material_asset_in_case_window,9
2025_case_04_jun_30_mixed_tail_spike,MPL,Production unavailability,1,880.0,880.0,2025-06-28T20:00:00Z,2025-07-01T20:00:00Z,moderate_asset_context,3
2025_case_04_jun_30_mixed_tail_spike,KGL,Production unavailability,10,840.0,548.6,2015-05-20T06:00:00Z,2050-12-31T23:59:59Z,material_asset_in_case_window,12
2025_case_04_jun_30_mixed_tail_spike,SPGEN01,Production unavailability,4,812.0,739.25,2025-03-31T22:00:00Z,2025-08-20T22:00:00Z,material_asset_in_case_window,6
2025_case_04_jun_30_mixed_tail_spike,SEABANK,Production unavailability,5,810.0,763.0,2025-03-31T13:00:00Z,2025-08-31T13:30:00Z,material_asset_in_case_window,6
2025_case_04_jun_30_mixed_tail_spike,MEDWAY,Production unavailability,1,710.0,710.0,2025-05-22T22:00:00Z,2025-08-10T11:00:00Z,moderate_asset_context,5
2025_case_04_jun_30_mixed_tail_spike,CECL,Production unavailability,4,700.0,700.0,2025-04-06T22:00:00Z,2025-09-19T07:00:00Z,material_asset_in_case_window,8
2025_case_04_jun_30_mixed_tail_spike,INNOGY01,Production unavailability,19,680.0,488.95,2018-03-31T19:58:00Z,2029-07-31T23:00:00Z,material_asset_in_case_window,12
2025_case_04_jun_30_mixed_tail_spike,DRAX,Production unavailability,26,645.0,290.38,2020-07-29T11:00:00Z,2035-12-31T01:24:30Z,material_asset_in_case_window,12
2025_case_04_jun_30_mixed_tail_spike,BEGL001,Production unavailability,12,620.0,465.0,2019-09-11T11:00:00Z,2050-12-31T23:00:00Z,material_asset_in_case_window,12
2025_case_04_jun_30_mixed_tail_spike,DEESIDE,Production unavailability,1,510.0,510.0,2018-03-31T23:00:00Z,2050-12-31T00:00:00Z,moderate_asset_context,12
2025_case_04_jun_30_mixed_tail_spike,EECL,Production unavailability,7,505.0,442.86,2024-09-28T18:30:00Z,2050-09-30T23:00:00Z,material_asset_in_case_window,12
2025_case_04_jun_30_mixed_tail_spike,WESTBURB,Production unavailability,4,450.0,436.25,2025-03-28T21:00:00Z,2025-07-15T22:00:00Z,moderate_asset_context,7
2025_case_04_jun_30_mixed_tail_spike,CARRINGT,Production unavailability,2,442.0,442.0,2025-06-04T20:00:00Z,2025-08-26T12:00:00Z,moderate_asset_context,3
2025_case_04_jun_30_mixed_tail_spike,SALTEND,Production unavailability,2,400.0,400.0,2025-06-27T22:00:00Z,2025-07-21T06:00:00Z,moderate_asset_context,5
2025_case_04_jun_30_mixed_tail_spike,SSETGSL,Production unavailability,1,400.0,400.0,2025-05-09T07:30:12Z,2025-08-01T14:30:25Z,moderate_asset_context,9
2025_case_04_jun_30_mixed_tail_spike,ICHPLLP,Production unavailability,7,385.0,214.29,2025-04-23T22:00:00Z,2025-07-04T22:00:00Z,moderate_asset_context,11
2025_case_04_jun_30_mixed_tail_spike,FSTHYDRO,Consumption unavailability,7,300.0,300.0,2025-02-16T06:00:00Z,2026-03-21T17:00:00Z,moderate_asset_context,12
2025_case_04_jun_30_mixed_tail_spike,FSTHYDRO,Production unavailability,7,300.0,300.0,2025-02-16T06:00:00Z,2026-03-21T17:00:00Z,moderate_asset_context,12
2025_case_04_jun_30_mixed_tail_spike,DINORWIG,Production unavailability,6,300.0,300.0,2025-02-17T08:00:00Z,2025-11-30T16:00:00Z,moderate_asset_context,9
2025_case_04_jun_30_mixed_tail_spike,SPALDI,Production unavailability,8,299.0,267.12,2025-06-20T22:00:00Z,2025-06-30T22:00:00Z,moderate_asset_context,3
2025_case_04_jun_30_mixed_tail_spike,DBNKOWF1,Production unavailability,1,250.4,250.4,2025-04-26T14:05:00Z,2026-05-20T07:00:00Z,moderate_asset_context,12
2025_case_04_jun_30_mixed_tail_spike,SPAL,Production unavailability,5,150.0,140.0,2025-06-30T17:50:00Z,2025-06-30T19:51:00Z,moderate_asset_context,5
2025_case_04_jun_30_mixed_tail_spike,GYMOWL,Production unavailability,3,144.0,141.33,2025-05-13T04:01:00Z,2025-08-26T22:59:00Z,moderate_asset_context,4
2025_case_04_jun_30_mixed_tail_spike,FALLAGO,Production unavailability,1,144.0,144.0,2025-06-30T07:00:00Z,2025-07-04T16:00:00Z,moderate_asset_context,2
2025_case_04_jun_30_mixed_tail_spike,GCHP,Production unavailability,1,140.0,140.0,2025-02-14T21:00:00Z,2025-12-31T12:00:00Z,moderate_asset_context,9
2025_case_04_jun_30_mixed_tail_spike,CWSL,Production unavailability,1,129.0,129.0,2025-06-30T08:00:00Z,2025-07-06T08:30:00Z,moderate_asset_context,2
2025_case_04_jun_30_mixed_tail_spike,CORBY,Production unavailability,1,120.0,120.0,2024-10-31T09:30:00Z,2025-10-01T00:00:00Z,moderate_asset_context,12
2025_case_04_jun_30_mixed_tail_spike,SPCRE01,Production unavailability,1,114.0,114.0,2025-06-30T08:00:00Z,2025-07-02T18:00:00Z,moderate_asset_context,2
2025_case_04_jun_30_mixed_tail_spike,TKWFL,Production unavailability,1,103.0,103.0,2025-06-30T07:00:00Z,2025-06-30T20:00:00Z,moderate_asset_context,2
2025_case_04_jun_30_mixed_tail_spike,DPSL,Production unavailability,4,100.0,100.0,2025-06-02T00:00:00Z,2025-09-09T11:00:00Z,moderate_asset_context,7
2025_case_05_jul_01_near_spike,MPL,Production unavailability,1,880.0,880.0,2025-06-28T20:00:00Z,2025-07-01T20:00:00Z,moderate_asset_context,3
2025_case_05_jul_01_near_spike,KGL,Production unavailability,9,840.0,597.33,2015-05-20T06:00:00Z,2050-12-31T23:59:59Z,material_asset_in_case_window,12
2025_case_05_jul_01_near_spike,SPGEN01,Production unavailability,4,812.0,739.25,2025-03-31T22:00:00Z,2025-08-20T22:00:00Z,material_asset_in_case_window,6
2025_case_05_jul_01_near_spike,SEABANK,Production unavailability,5,810.0,718.6,2025-03-31T13:00:00Z,2025-08-31T13:30:00Z,material_asset_in_case_window,6
2025_case_05_jul_01_near_spike,MEDWAY,Production unavailability,1,710.0,710.0,2025-05-22T22:00:00Z,2025-08-10T11:00:00Z,moderate_asset_context,5
2025_case_05_jul_01_near_spike,CECL,Production unavailability,4,700.0,700.0,2025-04-06T22:00:00Z,2025-09-19T07:00:00Z,material_asset_in_case_window,8
2025_case_05_jul_01_near_spike,INNOGY01,Production unavailability,17,680.0,507.76,2018-03-31T19:58:00Z,2029-07-31T23:00:00Z,material_asset_in_case_window,12
2025_case_05_jul_01_near_spike,DRAX,Production unavailability,25,645.0,296.2,2020-07-29T11:00:00Z,2035-12-31T01:24:30Z,material_asset_in_case_window,12
2025_case_05_jul_01_near_spike,BEGL001,Production unavailability,11,620.0,456.36,2019-09-11T11:00:00Z,2050-12-31T23:00:00Z,material_asset_in_case_window,12
2025_case_05_jul_01_near_spike,DEESIDE,Production unavailability,1,510.0,510.0,2018-03-31T23:00:00Z,2050-12-31T00:00:00Z,moderate_asset_context,12
2025_case_05_jul_01_near_spike,EECL,Production unavailability,9,505.0,393.89,2024-09-28T18:30:00Z,2050-09-30T23:00:00Z,material_asset_in_case_window,12
2025_case_05_jul_01_near_spike,WESTBURB,Production unavailability,4,450.0,436.25,2025-03-28T21:00:00Z,2025-07-15T22:00:00Z,moderate_asset_context,7
2025_case_05_jul_01_near_spike,CARRINGT,Production unavailability,2,442.0,442.0,2025-06-04T20:00:00Z,2025-08-26T12:00:00Z,moderate_asset_context,3
2025_case_05_jul_01_near_spike,SALTEND,Production unavailability,1,400.0,400.0,2025-06-27T22:00:00Z,2025-07-21T06:00:00Z,moderate_asset_context,5
2025_case_05_jul_01_near_spike,SSETGSL,Production unavailability,1,400.0,400.0,2025-05-09T07:30:12Z,2025-08-01T14:30:25Z,moderate_asset_context,9
2025_case_05_jul_01_near_spike,ICHPLLP,Production unavailability,2,385.0,327.5,2025-06-30T22:00:00Z,2025-07-04T22:00:00Z,moderate_asset_context,11
2025_case_05_jul_01_near_spike,EAOWIND,Production unavailability,2,340.0,340.0,2025-07-01T06:00:00Z,2025-07-02T17:00:00Z,moderate_asset_context,1
2025_case_05_jul_01_near_spike,SPCRE01,Production unavailability,2,305.0,209.5,2025-06-30T08:00:00Z,2025-07-02T18:00:00Z,moderate_asset_context,2
2025_case_05_jul_01_near_spike,FSTHYDRO,Consumption unavailability,7,300.0,300.0,2025-02-16T06:00:00Z,2026-03-21T17:00:00Z,moderate_asset_context,12
2025_case_05_jul_01_near_spike,FSTHYDRO,Production unavailability,7,300.0,300.0,2025-02-16T06:00:00Z,2026-03-21T17:00:00Z,moderate_asset_context,12
2025_case_05_jul_01_near_spike,DINORWIG,Production unavailability,6,300.0,300.0,2025-02-17T08:00:00Z,2025-11-30T16:00:00Z,moderate_asset_context,9
2025_case_05_jul_01_near_spike,DBNKOWF1,Production unavailability,1,250.4,250.4,2025-04-26T14:05:00Z,2026-05-20T07:00:00Z,moderate_asset_context,12
2025_case_05_jul_01_near_spike,GYMOWL,Production unavailability,3,144.0,141.33,2025-05-13T04:01:00Z,2025-08-26T22:59:00Z,moderate_asset_context,4
2025_case_05_jul_01_near_spike,FALLAGO,Production unavailability,1,144.0,144.0,2025-06-30T07:00:00Z,2025-07-04T16:00:00Z,moderate_asset_context,2
2025_case_05_jul_01_near_spike,GCHP,Production unavailability,1,140.0,140.0,2025-02-14T21:00:00Z,2025-12-31T12:00:00Z,moderate_asset_context,9
2025_case_05_jul_01_near_spike,CWSL,Production unavailability,1,129.0,129.0,2025-06-30T08:00:00Z,2025-07-06T08:30:00Z,moderate_asset_context,2
2025_case_05_jul_01_near_spike,BOWL001,Production unavailability,1,126.0,126.0,2025-07-01T09:00:00Z,2025-07-01T17:00:00Z,moderate_asset_context,1
2025_case_05_jul_01_near_spike,CORBY,Production unavailability,1,120.0,120.0,2024-10-31T09:30:00Z,2025-10-01T00:00:00Z,moderate_asset_context,12
2025_case_05_jul_01_near_spike,DPSL,Consumption unavailability,2,113.0,113.0,2025-07-01T11:20:59Z,2025-08-29T14:08:45Z,moderate_asset_context,7
2025_case_05_jul_01_near_spike,DPSL,Production unavailability,4,100.0,100.0,2025-06-02T00:00:00Z,2025-09-09T11:00:00Z,moderate_asset_context,7
2025_case_06_oct_13_autumn_spike,ELECL1,Transmission unavailability,2,1014.0,1014.0,2025-10-12T04:00:00Z,2025-10-15T22:00:00Z,material_asset_in_case_window,2
2025_case_06_oct_13_autumn_spike,NGIFA,Transmission unavailability,4,1000.0,750.0,2025-09-08T05:00:00Z,2026-03-16T15:44:00Z,major_material_asset_in_case_window,9
2025_case_06_oct_13_autumn_spike,CENLANG,Production unavailability,1,905.0,905.0,2025-09-08T00:00:00Z,2025-10-19T22:00:00Z,moderate_asset_context,6
2025_case_06_oct_13_autumn_spike,ICHPLLP,Production unavailability,3,840.0,443.33,2025-09-30T22:00:00Z,2025-10-26T23:00:00Z,material_asset_in_case_window,11
2025_case_06_oct_13_autumn_spike,BEGL001,Production unavailability,15,660.0,496.93,2019-09-11T11:00:00Z,2050-12-31T23:00:00Z,material_asset_in_case_window,12
2025_case_06_oct_13_autumn_spike,DRAX,Production unavailability,21,645.0,531.19,2020-07-29T11:00:00Z,2035-12-31T01:24:30Z,material_asset_in_case_window,12
2025_case_06_oct_13_autumn_spike,CECL,Production unavailability,12,590.0,432.25,2025-10-13T04:49:00Z,2025-10-16T22:30:00Z,material_asset_in_case_window,8
2025_case_06_oct_13_autumn_spike,DEESIDE,Production unavailability,1,510.0,510.0,2018-03-31T23:00:00Z,2050-12-31T00:00:00Z,moderate_asset_context,12
2025_case_06_oct_13_autumn_spike,KGL,Production unavailability,7,506.0,478.0,2015-05-20T06:00:00Z,2050-12-31T23:59:59Z,material_asset_in_case_window,12
2025_case_06_oct_13_autumn_spike,EECL,Production unavailability,5,505.0,469.0,2024-09-28T18:30:00Z,2050-09-30T23:00:00Z,material_asset_in_case_window,12
2025_case_06_oct_13_autumn_spike,INNOGY01,Production unavailability,12,500.0,486.33,2018-03-31T19:58:00Z,2029-07-31T23:00:00Z,material_asset_in_case_window,12
2025_case_06_oct_13_autumn_spike,SPAL,Production unavailability,5,410.0,391.0,2025-10-09T22:00:00Z,2025-10-19T22:00:00Z,moderate_asset_context,5
2025_case_06_oct_13_autumn_spike,SSETGSL,Production unavailability,1,400.0,400.0,2025-10-10T15:00:52Z,2025-10-15T09:00:58Z,moderate_asset_context,9
2025_case_06_oct_13_autumn_spike,DONGSVR,Production unavailability,1,396.0,396.0,2025-09-25T07:00:00Z,2025-12-02T23:00:00Z,moderate_asset_context,3
2025_case_06_oct_13_autumn_spike,RPCL,Production unavailability,3,384.0,383.33,2025-10-11T15:15:00Z,2025-10-13T12:00:00Z,moderate_asset_context,1
2025_case_06_oct_13_autumn_spike,CORBY,Production unavailability,1,380.0,380.0,2025-09-30T23:00:00Z,2027-09-30T23:59:00Z,moderate_asset_context,12
2025_case_06_oct_13_autumn_spike,N_SSEBAT,Production unavailability,1,320.0,320.0,2025-10-09T15:00:00Z,2026-05-01T09:00:00Z,moderate_asset_context,3
2025_case_06_oct_13_autumn_spike,FSTHYDRO,Consumption unavailability,5,300.0,300.0,2025-02-16T06:00:00Z,2026-03-21T17:00:00Z,moderate_asset_context,12
2025_case_06_oct_13_autumn_spike,FSTHYDRO,Production unavailability,5,300.0,300.0,2025-02-16T06:00:00Z,2026-03-21T17:00:00Z,moderate_asset_context,12
2025_case_06_oct_13_autumn_spike,DINORWIG,Production unavailability,3,300.0,300.0,2025-04-01T07:00:00Z,2025-11-30T16:00:00Z,moderate_asset_context,9
2025_case_06_oct_13_autumn_spike,SWEL001,Production unavailability,1,300.0,300.0,2025-10-13T07:00:00Z,2025-10-13T20:30:00Z,moderate_asset_context,3
2025_case_06_oct_13_autumn_spike,SPALDI,Production unavailability,1,299.0,299.0,2025-10-13T14:58:00Z,2025-10-14T09:20:00Z,moderate_asset_context,3
2025_case_06_oct_13_autumn_spike,TEESREP,Production unavailability,1,285.0,285.0,2025-10-06T14:30:00Z,2025-10-30T07:00:00Z,moderate_asset_context,7
2025_case_06_oct_13_autumn_spike,DBNKOWF1,Production unavailability,1,250.4,250.4,2025-04-26T14:05:00Z,2026-05-20T07:00:00Z,moderate_asset_context,12
2025_case_06_oct_13_autumn_spike,SSEGEN,Consumption unavailability,1,150.0,150.0,2025-10-13T04:30:05Z,2025-10-13T11:00:13Z,moderate_asset_context,5
2025_case_06_oct_13_autumn_spike,GCHP,Production unavailability,1,140.0,140.0,2025-02-14T21:00:00Z,2025-12-31T12:00:00Z,moderate_asset_context,9
2025_case_06_oct_13_autumn_spike,LYNE,Production unavailability,2,133.0,133.0,2025-10-08T22:00:00Z,2025-10-15T02:00:00Z,moderate_asset_context,4
