condition,periods_meeting_condition,spike_periods_within_condition,spike_probability_given_condition
imbalance_gt_150_and_gas_gt_15000,392,54,0.1378
wind_lt_8000_and_gas_gt_15000,1014,65,0.0641
imbalance_gt_150_and_wind_lt_8000,553,62,0.1121
imbalance_gt_150_and_hour_16_to_19,321,56,0.1745
wind_lt_8000_and_hour_16_to_19,318,63,0.1981
gas_gt_15000_and_hour_16_to_19,356,55,0.1545
