year,event_id,event_type,start_time,end_time,duration_hours,periods_in_event,max_price,min_price,avg_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,time_of_max_price,time_band_at_max_price,regime_group,price_before_event,price_after_event,price_change_from_previous,research_note,likely_internal_driver,external_check_window_start,external_check_window_end,api_from,api_to,event_priority_rank
2025,2025_negative_price_cluster_56,negative_price_cluster,2025-04-06 08:30:00+00:00,2025-04-06 12:00:00+00:00,4.0,8,-7.66,-37.65004444444445,-26.87501111111111,-121.59977248996321,4981.0,2205.75,5216.25,2025-04-06 08:30:00+00:00,morning_ramp,apr_may_surplus_shift,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+higher_interconnector_support,2025-04-06 06:30:00+00:00,2025-04-06 14:00:00+00:00,2025-04-06T06:30:00Z,2025-04-06T14:00:00Z,5
2025,2025_negative_price_cluster_94,negative_price_cluster,2025-06-03 06:00:00+00:00,2025-06-03 06:00:00+00:00,0.5,1,-7.66,-7.66,-7.66,-38.88998097662292,14422.0,4134.0,-1854.0,2025-06-03 06:00:00+00:00,morning_ramp,jun_mixed_tail,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+lower_interconnector_support,2025-06-03 04:00:00+00:00,2025-06-03 08:00:00+00:00,2025-06-03T04:00:00Z,2025-06-03T08:00:00Z,5
2025,2025_negative_price_cluster_92,negative_price_cluster,2025-06-01 22:00:00+00:00,2025-06-01 22:00:00+00:00,0.5,1,-7.76,-7.76,-7.76,-565.8883488827033,11242.0,3452.0,2074.0,2025-06-01 22:00:00+00:00,late_evening,jun_mixed_tail,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-06-01 20:00:00+00:00,2025-06-02 00:00:00+00:00,2025-06-01T20:00:00Z,2025-06-02T00:00:00Z,5
2025,2025_negative_price_cluster_258,negative_price_cluster,2025-10-06 20:00:00+00:00,2025-10-06 20:00:00+00:00,0.5,1,-7.77,-7.77,-7.77,-238.39818004415335,9019.0,13916.0,618.0,2025-10-06 20:00:00+00:00,late_evening,oct_mixed_transition,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",negative_imbalance+lower_interconnector_support,2025-10-06 18:00:00+00:00,2025-10-06 22:00:00+00:00,2025-10-06T18:00:00Z,2025-10-06T22:00:00Z,5
2025,2025_negative_price_cluster_238,negative_price_cluster,2025-09-18 15:00:00+00:00,2025-09-18 16:00:00+00:00,1.5,3,-7.93,-17.35,-14.21,-280.1558423072401,13219.666666666666,6700.0,2196.6666666666665,2025-09-18 16:00:00+00:00,evening_peak,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-09-18 13:00:00+00:00,2025-09-18 18:00:00+00:00,2025-09-18T13:00:00Z,2025-09-18T18:00:00Z,5
2025,2025_negative_price_cluster_199,negative_price_cluster,2025-09-06 19:30:00+00:00,2025-09-06 20:30:00+00:00,1.5,3,-7.98,-28.79,-16.976666666666667,-349.49513823573034,15572.666666666666,2976.3333333333335,1632.6666666666667,2025-09-06 19:30:00+00:00,evening_peak,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-09-06 17:30:00+00:00,2025-09-06 22:30:00+00:00,2025-09-06T17:30:00Z,2025-09-06T22:30:00Z,5
2025,2025_negative_price_cluster_147,negative_price_cluster,2025-07-07 10:30:00+00:00,2025-07-07 10:30:00+00:00,0.5,1,-8.08,-8.08,-8.08,-38.85,12231.0,2592.0,2356.0,2025-07-07 10:30:00+00:00,midday,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+lower_interconnector_support,2025-07-07 08:30:00+00:00,2025-07-07 12:30:00+00:00,2025-07-07T08:30:00Z,2025-07-07T12:30:00Z,5
2025,2025_negative_price_cluster_227,negative_price_cluster,2025-09-14 20:00:00+00:00,2025-09-14 20:00:00+00:00,0.5,1,-8.12,-8.12,-8.12,-298.87078404234654,15027.0,4731.0,1232.0,2025-09-14 20:00:00+00:00,late_evening,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-09-14 18:00:00+00:00,2025-09-14 22:00:00+00:00,2025-09-14T18:00:00Z,2025-09-14T22:00:00Z,5
2025,2025_negative_price_cluster_71,negative_price_cluster,2025-05-16 12:30:00+00:00,2025-05-16 14:30:00+00:00,2.5,5,-8.22,-14.69,-11.126,-352.64704675149676,7249.6,1611.2,4450.8,2025-05-16 14:00:00+00:00,afternoon,apr_may_surplus_shift,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+negative_imbalance,2025-05-16 10:30:00+00:00,2025-05-16 16:30:00+00:00,2025-05-16T10:30:00Z,2025-05-16T16:30:00Z,5
2025,2025_negative_price_cluster_97,negative_price_cluster,2025-06-04 03:00:00+00:00,2025-06-04 03:00:00+00:00,0.5,1,-8.22,-8.22,-8.22,-407.6965967676768,9968.0,3962.0,254.0,2025-06-04 03:00:00+00:00,night,jun_mixed_tail,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",negative_imbalance+lower_interconnector_support,2025-06-04 01:00:00+00:00,2025-06-04 05:00:00+00:00,2025-06-04T01:00:00Z,2025-06-04T05:00:00Z,5
