year,min,p10,p25,median,mean,p75,p90,max
2023,-9800.0,-1328.0,715.5,3032.0,2696.7927,4964.0,6062.0,14212.0
2024,-10308.0,299.4,2246.0,3859.0,3435.2466,4974.5,5746.0,14708.0
