condition,periods_meeting_condition,spike_periods_within_condition,spike_probability_given_condition
imbalance_gt_100,5475,14,0.0026
imbalance_gt_150,4331,9,0.0021
wind_lt_11000,13126,24,0.0018
wind_lt_8000,9961,24,0.0024
gas_gt_10000,5590,24,0.0043
gas_gt_15000,2288,24,0.0105
