price_event_id,price_event_type,price_event_year,price_event_start,price_event_end,price_event_max_price,price_event_min_price,price_event_avg_imbalance,price_event_avg_wind,price_event_avg_gas,price_event_avg_interconnectors,price_event_time_band,price_event_regime_group,price_event_likely_internal_driver,query_api_from,query_api_to,remit_message_id,remit_id,remit_dataset,remit_mrid,remit_revisionNumber,remit_publishTime,remit_createdTime,remit_messageType,remit_messageHeading,remit_eventType,remit_unavailabilityType,remit_participantId,remit_registrationCode,remit_assetId,remit_assetType,remit_affectedUnit,remit_affectedUnitEIC,remit_affectedArea,remit_biddingZone,remit_fuelType,remit_normalCapacity,remit_availableCapacity,remit_unavailableCapacity,remit_eventStatus,remit_eventStartTime,remit_eventEndTime,remit_durationUncertainty,remit_cause,remit_relatedInformation,simplified_external_event_type,remit_outageProfile
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,747575,747575,REMIT,48X000000000263P-NGET-RMT-00007706,12,2023-05-02T12:38:07Z,2023-05-02T12:38:07Z,UnavailabilitiesOfElectricityFacilities,Planned Unavailability of Generation Unit,Production unavailability,Planned,SWEL001,48W00000SGRWO-1L,T_SGRWO-1,Production,T_SGRWO-1,48W00000SGRWO-1L,,10YGB----------A,Wind Offshore,300.0,150.0,150.0,Dismissed,2023-03-06T17:30:00Z,2023-03-16T14:50:00Z,,B19,Planned - Ongoing,wind_unavailability,
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,76657,76657,REMIT,48X000000000080X-NGET-RMT-00014700,2,2023-02-28T08:10:59Z,2023-02-28T08:10:59Z,UnavailabilitiesOfElectricityFacilities,REMIT INFORMATION,Production unavailability,Planned,EECL,48X000000000080X,T_CNQPS-1,Production,CNQPS-1,48W00000CNQPS-1E,N,10YGB----------A,Fossil Gas,345.0,345.0,0.0,Dismissed,2023-03-07T00:00:00Z,2023-03-09T00:00:00Z,+- 1 day,Planned Outage,Outage,thermal_gas_unavailability,
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,81446,81446,REMIT,2023030607000001-ELXP-RMT-20230306,1,2023-03-06T13:21:39Z,2023-03-06T13:21:39Z,UnavailabilitiesOfElectricityFacilities,"New: SONILTD - Unavailability of I_IEG-MOYL1 at 2023-03-07 07:00:00, expected to last until 2023-03-07 23:00:00",Other unavailability,Unplanned,SONILTD,47X000000000211M,I_IEG-MOYL1,Production,I_IEG-MOYL1,,,10YGB----------B,,0.0,0.0,500.0,Active,2023-03-07T07:00:00Z,2023-03-07T23:00:00Z,,SONI TSO restricting NI to GB flows,MW values in this message relate to the interconnector's technical capacity. Market capacity on a given day may be different from this and is the result of constraints imposed by onshore TSOs. Full details can be found at https://www.mutual-energy.com/electricity/#moyle-capacity,interconnector_unavailability,"[{'startTime': '2023-03-07T07:00:00Z', 'endTime': '2023-03-07T08:00:00Z', 'capacity': 204.0}, {'startTime': '2023-03-07T08:00:00Z', 'endTime': '2023-03-07T09:00:00Z', 'capacity': 76.0}, {'startTime': '2023-03-07T09:00:00Z', 'endTime': '2023-03-07T10:00:00Z', 'capacity': 27.0}, {'startTime': '2023-03-07T10:00:00Z', 'endTime': '2023-03-07T11:00:00Z', 'capacity': 57.0}, {'startTime': '2023-03-07T11:00:00Z', 'endTime': '2023-03-07T12:00:00Z', 'capacity': 76.0}, {'startTime': '2023-03-07T12:00:00Z', 'endTime': '2023-03-07T13:00:00Z', 'capacity': 96.0}, {'startTime': '2023-03-07T13:00:00Z', 'endTime': '2023-03-07T14:00:00Z', 'capacity': 125.0}, {'startTime': '2023-03-07T14:00:00Z', 'endTime': '2023-03-07T16:00:00Z', 'capacity': 184.0}, {'startTime': '2023-03-07T16:00:00Z', 'endTime': '2023-03-07T17:00:00Z', 'capacity': 194.0}, {'startTime': '2023-03-07T17:00:00Z', 'endTime': '2023-03-07T21:00:00Z', 'capacity': 0.0}, {'startTime': '2023-03-07T21:00:00Z', 'endTime': '2023-03-07T22:00:00Z', 'capacity': 86.0}, {'startTime': '2023-03-07T22:00:00Z', 'endTime': '2023-03-07T23:00:00Z', 'capacity': 351.0}]"
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,731906,731906,REMIT,8370905274780090-ELXP-RMT-29049426,1,2024-04-26T08:25:14Z,2024-04-26T08:24:46Z,UnavailabilitiesOfElectricityFacilities,"New: EILIA - Unavailability of I_IEG-EWIC1 at 2023-03-07 08:00:00, expected to last until 2023-03-07 22:00:00",Transmission unavailability,Unplanned,EILIA,10Z-GB-IE-000018,I_IEG-EWIC1,Production,I_IEG-EWIC1,,,10YGB----------B,,0.0,0.0,500.0,Inactive,2023-03-07T08:00:00Z,2023-03-07T22:00:00Z,,TSO NTC Reduction,,other_unavailability_or_capacity_change,"[{'startTime': '2023-03-07T08:00:00Z', 'endTime': '2023-03-07T09:00:00Z', 'capacity': 267.0}, {'startTime': '2023-03-07T09:00:00Z', 'endTime': '2023-03-07T11:00:00Z', 'capacity': 131.0}, {'startTime': '2023-03-07T11:00:00Z', 'endTime': '2023-03-07T12:00:00Z', 'capacity': 161.0}, {'startTime': '2023-03-07T12:00:00Z', 'endTime': '2023-03-07T13:00:00Z', 'capacity': 180.0}, {'startTime': '2023-03-07T13:00:00Z', 'endTime': '2023-03-07T14:00:00Z', 'capacity': 170.0}, {'startTime': '2023-03-07T14:00:00Z', 'endTime': '2023-03-07T15:00:00Z', 'capacity': 199.0}, {'startTime': '2023-03-07T15:00:00Z', 'endTime': '2023-03-07T16:00:00Z', 'capacity': 161.0}, {'startTime': '2023-03-07T16:00:00Z', 'endTime': '2023-03-07T17:00:00Z', 'capacity': 33.0}, {'startTime': '2023-03-07T17:00:00Z', 'endTime': '2023-03-07T21:00:00Z', 'capacity': 0.0}, {'startTime': '2023-03-07T21:00:00Z', 'endTime': '2023-03-07T22:00:00Z', 'capacity': 267.0}]"
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,81035,81035,REMIT,48X000000000001I-NGET-RMT-00055376,4,2023-03-07T13:15:41Z,2023-03-07T13:15:41Z,UnavailabilitiesOfElectricityFacilities,REMIT INFORMATION,Production unavailability,Unplanned,DRAX,48X000000000001I,T_DRAXX-3,Production,DRAXX-3,48W00000DRAXX-3A,N,10YGB----------A,Biomass,645.0,590.0,55.0,Dismissed,2023-03-07T12:22:00Z,2023-03-12T18:05:30Z,,Boiler / Fuel Supply,,other_unavailability_or_capacity_change,
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,78756,78756,REMIT,48X000000000001I-NGET-RMT-00055380,2,2023-03-07T15:51:53Z,2023-03-07T15:51:53Z,UnavailabilitiesOfElectricityFacilities,REMIT INFORMATION,Production unavailability,Unplanned,DRAX,48X000000000001I,T_DRAXX-3,Production,DRAXX-3,48W00000DRAXX-3A,N,10YGB----------A,Biomass,645.0,590.0,55.0,Inactive,2023-03-07T12:22:00Z,2023-03-07T15:53:08Z,,Boiler / Fuel Supply,,other_unavailability_or_capacity_change,
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,81685,81685,REMIT,48X000000000001I-NGET-RMT-00055379,2,2023-03-07T14:39:01Z,2023-03-07T14:39:01Z,UnavailabilitiesOfElectricityFacilities,REMIT INFORMATION,Production unavailability,Unplanned,DRAX,48X000000000001I,T_DRAXX-5,Production,DRAXX-5,48W00000DRAXX-56,N,10YGB----------A,Fossil Hard coal,645.0,0.0,645.0,Inactive,2023-03-07T14:40:18Z,2023-03-07T20:58:40Z,,Turbine generator/Feed system,,other_unavailability_or_capacity_change,
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,80565,80565,REMIT,48X000000000021C-NGET-RMT-00033750,2,2023-03-06T08:00:13Z,2023-03-06T08:00:13Z,UnavailabilitiesOfElectricityFacilities,Generated by Genstar4 from Enegen Power Systems.,Production unavailability,Planned,ICHPLLP,48X000000000021C,T_HUMR-1,,HUMR-1,48W100000HUMR-1N,,10YGB----------A,Fossil Gas,1230.0,777.0,453.0,Dismissed,2023-03-07T15:00:00Z,2023-03-07T17:00:00Z,,Planned Maintenance,,thermal_gas_unavailability,
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,79883,79883,REMIT,48X000000000189B-NGET-RMT-00004567,4,2023-03-07T17:10:00Z,2023-03-07T17:10:00Z,UnavailabilitiesOfElectricityFacilities,REMIT Information,Production unavailability,Unplanned,HUMPOWER,48X000000000189B,T_SHBA-1,Production,SHBA-1,48W000000SHBA-1C,B8,10YGB----------A,Fossil Gas,810.0,0.0,810.0,Active,2023-03-07T15:30:00Z,2023-03-07T17:30:00Z,,Steam Turbine,,thermal_gas_unavailability,
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z,81906,81906,REMIT,48X000000000001I-NGET-RMT-00055381,3,2023-03-07T16:21:21Z,2023-03-07T16:21:21Z,UnavailabilitiesOfElectricityFacilities,REMIT INFORMATION,Production unavailability,Unplanned,DRAX,48X000000000001I,T_DRAXX-3,Production,DRAXX-3,48W00000DRAXX-3A,N,10YGB----------A,Biomass,645.0,520.0,125.0,Inactive,2023-03-07T15:53:08Z,2023-03-07T16:26:00Z,,Boiler / Fuel Supply,,other_unavailability_or_capacity_change,
